row,date,tweet,polarity
149,6-Jul-20,@fathoniz malam kak fathoniz nsebagai informasi sejak tahun 2017 tarif tenaga listrik ttl tidak mengalami kenaikan ya. ndan terkait lonjakan rekeningnya tsb mohon dapat diinformasikan id pelanggannya via dm agar dapat admin lakukan pengecekan data ya kak. nthanks -wisnu,Negative
151,6-Jul-20,malem min @pln_123. mau tanya cara cek tagihan listrik gimana ya? sebulan terakhir ini apa emang ada kenaikan tarif?,Negative
152,6-Jul-20,rt @_pln_id: semoga bisa dipahami ya electrizen. perlu ditekankan tidak ada kenaikan tarif listrik sejak 2017 #person with folded hands# n#listrikuntukrakyat n#list,Negative
153,8-Jul-20,rt @terasid: tagihan listrik yang melonjak selama pandemi covid-19 dikeluhkan ribuan warga sukabumi. bagaimana pln sukabumi mencari jalan k,Negative
154,8-Jul-20,akhirnya ya merasakan sendiri tiba tiba tagihan listrik melonjak tajam 1 bulan 560 rb. bdhl cuma dayanya cuma 900. gak punya mesin cuci gg pernah nyalain tv lo bdhl @pln_123 mantep,Negative
155,8-Jul-20,sembako murah? nlistrik murah sekali sampai kmrn viral tagihan listrik yg melonjak. nbbm murah? seharusnya turun tp gkpp lah setidaknya gk naik. nimpor pangan? kudet beritanya mungkin blm ada skrg.,Negative
156,8-Jul-20,ini tagihan listrik gua knp melonjak amat naik nya,Negative
158,8-Jul-20,@pln_123 complain tagihan listrik melonjak nih bantu dm y,Negative
159,7-Jul-20,rt @kontannews: tagihan listrik pelanggan pln pada juli melonjak lagi kok bisa? #pln,Negative
160,7-Jul-20,setiap minta rincian kenapa tagihan listrik melonjak tinggi. selalu aja jawabanya @pln_123 berbelit belit. saya hanya minta rincian saja. kenapa bisa melonjak. orang pln hubungi saya di tlp hanya berbelit belit. saya minta rincian !!,Negative
161,7-Jul-20,tagihan listrik melonjakehh listrik nya mati 1 harian..kan luar biasa alasannya selalu pemeliharaan gimana ni @pln_123 @plnsumut_ @plnmedan1 @opi_plnsumut,Negative
162,7-Jul-20,mohon di cek pak tagihan listrik sy ko melonjak tajam pak. biasanya sy 500rb perbulan pembayaranya dan normal seperti biasa pemakainnya. baru skrg ko sampai 987.324ribu. #face screaming in fear# wow.. mohon di bantu pak. @pln_123 .,Negative
163,7-Jul-20,tagihan listrik bulan juli 2020 masih melonjak? simak cara dapat invoice pln cek total pemakaian,Negative
164,6-Jul-20,@pln_123 tolong dicek ini kenapa tiba2 tagihan listrik saya melonjak begini. masa naik hampir 2x lipat??,Negative
165,6-Jul-20,"rt @terasid: beberapa warga kota padang menjerit ""tersengat"" tagihan listrik yang melonjak tak karuan. bagaimana dengan rekening listrik an",Negative
166,6-Jul-20,@pln_123 halo kenapa ya tagihan listrik saya melonjak bulan lalu pemakaian banyak tagihan tinggi i got it tapi bulan juni ini sy kurangi hampir 50% pemakaian eehhh tagihan lebih gede dari bulan sebelumnya.. kan anehhhh ya ?! tolong dm saya rincian nya seperti apa,Negative
167,6-Jul-20,rt @qiraniayara: jgn hanya sekedar menghapus premium n pertalite tpi pikirkan jg kondisi rakyat skrng..phk dimana2 bpjs naik tagihan lis,Negative
168,6-Jul-20,@shntptr now i know why. sempat shock sekaliiiiiiiii kemaren liat tagihan listrik apart melonjak drastis padahal aku lebih hemat pemakaiannya #flushed face#,Negative
169,6-Jul-20,rt @kompastv: pln pastikan tagihan listrik melonjak bukan karena kenaikan tarif ini hitung-hitungannya,Negative
170,6-Jul-20,@pln_123 tolong di baca dmnya dong kenapa tiba2 tagihan listrik saya melonjak 2x lipat begini. fast respon please,Negative
171,6-Jul-20,pln pastikan tagihan listrik melonjak bukan karena kenaikan tarif ini hitung-hitungannya,Negative
172,6-Jul-20,@pln_123 tolong ini gimana ya tagihan makin melonjak awalnya 250.000 skrg naik jadi 373.000 waras ga si ngasih tagihan yg trz melonjak apa ktn untuk nutupin yg pada dapet listrik gratis tolong penjelasannya. padahal saya udh foto lap. listrik by wa,Negative
173,6-Jul-20,ini gimana ya tagihan makin melonjak dibulan juli pemakaian listrik biasa aja tapi gila naiknya bulan juni 250.000 skrg juli 373.000 apakah ini krn sebagian listrik digratiskan lalu kami yg 900 watt dibebankan!!!!! coba tolong jelaskan #pln #tagihanlistiknaik,Negative
176,5-Jul-20,@pln_123 hallo admin pln sampai bulan ini dari desember 2019 tagihan listrik saya masih under 50ribu. apakah credit overpaid periode 2019 id saya masih banyak? please advice jadi saya sendiri yang panik kalau bulan berikutnya akan melonjak karena kesalahan hitung lagi.,Negative
177,5-Jul-20,rt @terasid: masih dongkol karena tagihan listrik melonjak tajam? simak penjelasan pln sumut mengapa tagihan listrik anda tiba-tiba meroket,Negative
178,5-Jul-20,gile bener!!! tagihan listrik kaga salah nih melonjak lagi??? @pln_123 kenape si begitu pemakaian rumah tangga biasa biasa aja padahal.,Negative
179,5-Jul-20,"direktur pln mengaku tagihan listrik di rumahnya melonjak 100 persen. njadi serba salah mau ketawa atau sedih. njika dulu ada joke ""mati ketawa cara rusia"" nskrg: n""mati ketawa cara pln"" #smiling face with open mouth# #grinning face with smiling eyes# n",Negative
180,5-Jul-20,"rt @anakkolong_: ""buset dah pln tagihan listrik rumahku gila xb2 an sampai 2 jutaan tagihan listrikmu gimana..? ngga pernah melonjak kah..",Negative
181,5-Jul-20,@pln_123 selamat malam min ingin bertanya bahwa kenapa ya tagihan listrik pascabayar dirumah saya melonjak hingga 100% lebih padahal pemakaian sama seperti sebelum sebelumnya? mohon direspon,Negative
182,5-Jul-20,@pln_123 min tagihan listrik kok melonjak bgt sih saya dm no. idpel saya ya bln kmren sm sekarang naiknya 4x lipat hadehhh,Negative
183,5-Jul-20,@sulrod tagihan listrik auto melonjak,Negative
184,5-Jul-20,hallo @pln_123 tagihan listrik saya bulan juli melonjak 3 x lipat nih. bisa tolong penjelasannya?,Negative
185,5-Jul-20,@pln_123 wahai pln tercinta coba tolong dijelaskan ada apa gerangan kenapa tetiba tagihan listrik pascabayar keluarga kami melonjak seenak jidat? tolonglah berikan penjelasan yang masuk akal kalopun ada kesalahan dalam sistem pln ayolah transparan ada masalah apa sebenarnya?,Negative
186,5-Jul-20,@pln_123 min ini kok ga ada penjelasannya udh 1x24 jam saya dm dan mention tdk di respon. kenapa tagihan listrik saya bisa melonjak tinggi padahal pemakaiannya sama aj?????????,Negative
187,4-Jul-20,@pln_123 2. apakah dengan menyalanya lampu indikator/led orange di kwh meter dapat menyebabkan putaran kwh menjadi cepat krn semenjak kejadian nyala lampu kuning di kwh meter sy tagihan listrik di rumah sy jd melonjak drastis,Negative
189,4-Jul-20,@fezadianty tagihan listrik bulan juni juli ini malah melonjak banget #loudly crying face# #loudly crying face# heran kan rumahnya kosong,Negative
190,4-Jul-20,banyak sekali orang yg senasib tagihan listrik melonjak dahsyat..,Negative
191,4-Jul-20,halo @pln_123 apakah saya bisa minta dijelaskan alasan tagihan listrik pemakaian bulan juni melonjak?,Negative
192,4-Jul-20,@pln_123 tagihan listrik krn psbb tidak dicatat dan melonjak. banyak merugikan orang. sekarang baru ditagih dalam jumlah besar. memang saat corona kemarin bnyk orang kesusahan dan perusahaan juga tapi kalau begini caranya bukan meringankan masyarakat tapi pln menyusahkan.,Negative
194,4-Jul-20,tagihan listrik bulan ini melonjak dua kali lipat gaess pemakaian normal @pln_123,Negative
195,4-Jul-20,@pln_123 tlg cek dm saya ya. tagihan melonjak bgt. seumumur umur bayar listrik ga pernah sampe segitu,Negative
196,4-Jul-20,jgn hanya sekedar menghapus premium n pertalite tpi pikirkan jg kondisi rakyat skrng..phk dimana2 bpjs naik tagihan listrik bnyk yg melonjak dll skrng ditambah lagi hrs beralih ke pertamaxtentu smakin berat. apa kalian masih mau pura2 bahagia??,Negative
197,3-Jul-20,@pln_123 mhn penjelasannya lisitrik di rmh sy melonjak naik pdhl listrik sy cm 900va tp tagihan mencapai 600rb lbh,Negative
198,3-Jul-20,rt @ajengdevta: buat yg ngerasa tagihan listrik nya melonjak yukkk tonton bareng nih tips n trik nyaa,Negative
199,3-Jul-20,tagihan listrik juli 2020 melonjak lagi begini perhitungan pln. nmelalui @googlenews,Negative
200,3-Jul-20,@spiritofislam4 klo blm menimpa akibat bpjs yg nsemakin memalak rakyat nkini rakyat baru meraskn akibatx niuran bpjs semakin membebani ntagihan listrik melonjak npekerjaan sulit nhanya iman benteng terakhir,Negative
201,3-Jul-20,@kumparan nggak apa2 tagihan melonjak asalkan ini mbak yg cek meteran listrik gw,Negative
203,3-Jul-20,rt @kontannews: tagihan listrik juli melonjak ternyata ini sebabnya? #pln,Negative
204,3-Jul-20,rt @kontannews: tagihan listrik juli melonjak ternyata ini lho sebabnya? #pln,Negative
205,3-Jul-20,tagihan listrik juli melonjak ternyata ini lho sebabnya? #pln,Negative
206,3-Jul-20,tagihan listrik juli melonjak ternyata ini sebabnya? #pln,Negative
207,3-Jul-20,@pln_123 yg pada nanya tagihan listrik melonjak tinggi admin pln jawabnya apa ya?? saya dm nggam dijawab2 sama mereka tapi bisa reply twit yg lain. gimana sih ini pelayanannya??,Negative
208,3-Jul-20,biasanya tagihan listrik 180k - 220k tapi 3 bulan terakhir melonjak jadi 280 - 300k pemakaian sperti biasa dan tidak ada tmbahan barang elektronik bagaimana ini? @pln_123 @infopln @jokowi @erickthohir,Negative
209,3-Jul-20,@pln_123 @ach_alfarisi sore kak nmohon pengecekan untuk 126100419578 ntagihan listrik bulan ini melonjak nthks,Negative
210,3-Jul-20,@pln_123 haloo pln.. kenapa tagihan listrik saya melonjak banget? saya sudah dm idpel saya mohon dibaca dan dibalas. makasih.,Negative
211,3-Jul-20,tagihan listrik pelanggan pln pada juli melonjak lagi kok bisa? #pln,Negative
212,3-Jul-20,@pln_123 @bisniscom @pln_id assalmu alaikum pak sya mau nanya knpa tagihan listrik sya makin melonjak tinggi aj tolong dong pak jangan di gedein tarip tagihan listrik y sya g sanggup byar kl tagihan listrik y makin tinggi,Negative
213,3-Jul-20,@pln_123 tolong penjelasannya kenapa pemakaian listrik saya melonjak tajam di bulan juni? itu saya msh bayar karena malas komplain tp tiba2 tagihan di bulan juli ini malah tambah naik dan anehnya pemakaian turun sampai 2x lipat dari bukan sebelumnya. tolong penjelasannya.,Negative
214,3-Jul-20,@pln_123 bos ini kok tagihan listrik saya melonjak naik banget hampir 50% kenaikannya dari tagihan biasa gile bener,Negative
215,3-Jul-20,ini pln bener bener gak beres @pln_123 tolonglah diliat itu masyarakat yang ngeluh2 soal tagihan listrik yang melonjak berkali-kali lipat.,Negative
216,3-Jul-20,rt @syaroniyes: pln kesetrum utang rp. 695 triliun. dulu bang rr @ramlirizal sudah ingatkan proyek listrik 35.000 mw tidak realistis. pem,Negative
217,3-Jul-20,@pln_123 terus kenapa tagihan saya jadih melonjak? bulan ini saya sudah masuk kerja yg otomatis penggunaan listrik d rumah itu jadi sedikit. tolong lah jangan memeras rakyat menenggah untuk subsidi listrik rakyat bawah. saya jg cari uang cape untuk bayer listrik mahal begini,Negative
218,3-Jul-20,@pln_123 kenapa tagihan listrik saya bulan ini melonjak? padahal kalau dilihat rata2 tagihan bulanan saya dibawah 300rb ini sampai 500rb. mohon penjelasannya,Negative
219,3-Jul-20,buat yg ngerasa tagihan listrik nya melonjak yukkk tonton bareng nih tips n trik nyaa,Negative
220,2-Jul-20,@plnbogorbarat apa yang terjadi dengan tagihan listrik saya.tiba2 bln ini melonjak 3x lipat dari biasa nya !! sangat berat bagi saya,Negative
221,2-Jul-20,@sherpa701 klo menang lumayan pake nambahin bayar tagihan listrik yg lagi melonjak neh ama bpjs juga ding yg ngasih surprise iuran naik ga bilang2,Negative
222,2-Jul-20,@pln_123 @t_sanghyang @tgrrbbt bukan corona lagi yg membuat khawatir orang indonesia. tagihan listrik yang membuat khawatir sekarang.. terjadi kelonjakan tagihan listrik. bapak/ibu terhormat mohon maaf sebelumnya.semua kita terkena dampak covid 19 ini cuma jangan lah ditambah bebani tagihan listrik yg melonjak,Negative
223,2-Jul-20,@pln_123 @panduwicks kenapa tagihan listrik rumah saya melonjak naik ya ?? tolong beri kejelasan mengapa bisa naik melonjak.sedangkan pemakain normalbahkan jarang dirumah nkenapa tiba2 kwh pemakaian melonjak naikk. tolong dong kasih kejelasan ke pelanggan kenapa melonjak.,Negative
224,2-Jul-20,@pln_123 @wahyukusumo kenapa tagihan listrik rumah saya melonjak naik ya ?? tolong beri kejelasan mengapa bisa naik melonjak.sedangkan pemakain normalbahkan jarang dirumah nkenapa tiba2 kwh pemakaian melonjak naikk. tolong dong kasih kejelasan ke pelanggan kenapa melonjak.,Negative
225,2-Jul-20,@pln_123 kenapa tagihan listrik rumah saya melonjak naik ya ?? tolong beri kejelasan mengapa bisa naik melonjak.sedangkan pemakain normalbahkan jarang dirumah nkenapa tiba2 kwh pemakaian melonjak naikk. tolong dong kasih kejelasan ke pelanggan kenapa melonjak.,Negative
226,2-Jul-20,@sulist_ty @elsanmardiana @srynurmala @pln_123 @pln_id saya lebih shock padahal sudah aktif kerja ke kantor. dan tagihan listrik bulan ini melonjak 400% padahal pemakaian lebih sedikit #crying face# #see-no-evil monkey#,Negative
227,2-Jul-20,baru tau jaemin pernah update bubble lysn soal tagihan listrik melonjak jadi mahal curiga ini dia anaknya iis dahlia sih,Negative
228,2-Jul-20,@pln_123 kenapa tagihan listrik saya melonjak jauh banget ya? bulan kemarin hanya sekitar 500rb bulan ini tiba2 700rb pdhal pemakaian sama saja??????????,Negative
229,2-Jul-20,@pln_123 kenapa tagihan listrik rumah saya melonjak naik ya ?? tolong beri kejelasan mengapa bisa naik melonjak.. sedangkan pemakain normalbahkan jarang dirumah .. nkenapa tiba2 kwh pemakaian melonjak naikk. tolong dong kasih kejelasan ke pelanggan.,Negative
230,2-Jul-20,@pln_123 dear admin saya mau tanya perihal tagihan listrik yg tagihannya melonjak naik terus padahal pemakaiannya sudah turun,Negative
231,2-Jul-20,hello pln tidak wfh tagihan listrik kok masih melonjak?,Negative
232,2-Jul-20,@papersboy @pln_123 agak curiga bang jangan2 subsidi untuk pelanggan 450 ama 900 dialihkan ke pelanggan 1300 keatas. nsoalnya temen2 pada cerita kalo tagihan listrik nya melonjak,Negative
233,2-Jul-20,rt @ay_aysha: @prfmnews @pln_bandung ini ga salah kva 900 watt pemakaian biasa tiba2 melonjak tagihan listrik kemarin msh d maklumin sekara,Negative
234,2-Jul-20,waduh pemakaian listrik lebih kecil tapi tagihan pelanggan masih melonjak hingga 40% #pln,Negative
235,2-Jul-20,@pln_123 tagihan listrik melonjak lg perasaan pemakaian lbh sedikit dari bulan sebelumnya. permainan apa lg yg kalian ciptakan #plndajjal nputaran meteran begitu cpt sehingga meteran naik kencang. nkami doakan semoga kalian merasakan 7x apa yg kami rasakan skrg. nallahumma aamiin,Negative
236,2-Jul-20,rt @sirianagde: direktur utama pln zulkifli zaini mengatakan kenaikan utang rp500 t tsb tjd dlm 5 thn trakhir. pa,Negative
237,2-Jul-20,rt @kompastv: tagihan listrik melonjak ini penyebabnya !,Negative
238,2-Jul-20,tagihan listrik melonjak ini penyebabnya !,Negative
239,2-Jul-20,@pln_123 ni gimana tagihan jadi 700rb??? biasanya cuma 80rb/bulan. rumah sangat hemat listrik krn jarang ada orang. saya rumah ngontrak. seharian kerja dirumah hanya kulkas yg standby. tega ya pak bu? sy cari uang sendiri bayar kontrakan bayar kuliah ini tagihan melonjak???,Negative
240,2-Jul-20,@pln_123 kenapa tagihan listrik melonjak naik terus ?,Negative
241,1-Jul-20,@prfmnews @pln_bandung ini ga salah kva 900 watt pemakaian biasa tiba2 melonjak tagihan listrik kemarin msh d maklumin sekarang mah bukan d maklumin tp nyekik rakyat astagfirullah hayang cerik aing,Negative
242,1-Jul-20,rt @dimaspermana817: tarif dasar listrik tak naik hingga akhir 2020 bila tagihan melonjak murni karena pemakaian. nhemat listrik so hema,Negative
243,1-Jul-20,rt @liputan6dotcom: esdm: listrik tak naik hingga akhir 2020 bila tagihan melonjak murni pemakaian,Negative
244,1-Jul-20,tagihan listrik melonjak akibat tv tiap malem begadang sendirian karena ditinggal tidur sang juragan.,Negative
245,1-Jul-20,direktur utama pln zulkifli zaini mengatakan kenaikan utang rp500 t tsb tjd dlm 5 thn trakhir. padhl pd 2014 prseroan hny brutang tdk sampai rp50 triliun. ini zaman presiden siapa ya? lalu tiba2 tagihan listrik melonjak berlipat2? #jangancumabisamarah,Negative
246,1-Jul-20,tagihan listrik melonjak ini rumus cara hitung tagihan pln,Negative
247,1-Jul-20,tarif dasar listrik tak naik hingga akhir 2020 bila tagihan melonjak murni karena pemakaian. nhemat listrik so hemat biayanya. #smiling face with smiling eyes#,Negative
248,1-Jul-20,esdm: listrik tak naik hingga akhir 2020 bila tagihan melonjak murni pemakaian,Negative
249,1-Jul-20,rt @kompastv: cegah tagihan listrik melonjak! jangan lupa besok kirim foto meteran ke pln begini caranya,Negative
250,1-Jul-20,wauuuw tak hanya tagihan listrik. tagihan pdam ku melonjak dari biasanya.,Negative
251,8-Jul-20,@dafinayy tagihan listrik ya bengkak kali gara xb2 kebanyakan work from home belajar dari rumah dll #relieved face# #relieved face#,Negative
252,8-Jul-20,rt @jagodangdutcom: tagihan listrik imel putri bengkak 2 kali lipat angkanya wow! #dangdut,Negative
253,8-Jul-20,tagihan listrik imel putri bengkak 2 kali lipat angkanya wow! #dangdut,Negative
254,8-Jul-20,halo @pln_123 saya udah dm loh id pelanggannya kok ga di follow up. masa tagihan listrik sy masih bengkak sdgkan staf pln ga prnh dateng krmh buat ngecek.,Negative
255,8-Jul-20,terjawab sudah kenapa bisa bgini. kasian juga yg bengkak tiba2 jadi 10juta nih. baca gaes,Negative
256,7-Jul-20,rt @alyesa07: gimana gak ambyar. tagihan listrik bengkak tapi bilangnya gak naek bpjs iurannya makin nyekek leher masyarakat pengangguran,Negative
257,7-Jul-20,tagihan listrik udh 2 bulan berturut-turut naik 50%. bulan pertama isokey lah ya. bulan kedua sengaja mengurangi pemakaian eh malah makin bengkak #face with tears of joy# speechless akutuuu,Negative
258,7-Jul-20,kenapa tagihan listrik bengkak? saat siang matiin lampu ac yang 12 jam lebih cuman satu sisanya mulai nyala jam 7malam-4pagi saja. sebelum corona 1.5 juta tagihan listrik kenapa saat pandemic 2.1-2.5 juta per bulan. kirain akan tarif penyesuaian bulan ke-4. bohong! #pln #bumn,Negative
259,7-Jul-20,rt @vivacoid: tagihan listrik bengkak pln masih ada kantor luhut akan cek lapangan,Negative
260,7-Jul-20,tagihan listrik bengkak pln masih ada kantor luhut akan cek lapangan,Negative
261,7-Jul-20,gimana gak ambyar. tagihan listrik bengkak tapi bilangnya gak naek bpjs iurannya makin nyekek leher masyarakat pengangguran makin banyak tapi lapangan kerja malah dikasih ke tka china.. #negerikuambyar,Negative
262,6-Jul-20,"@detikcom supplier / vendor bus listrik tj ada yg dari byd ada yg dari mab ga cuma 1 vendor yg bakal dpakai yg byd itu emg utk uji coba. cm para pemuja pempus ributin yg byd pake bawa2 istilah kadrun krn ""made in china"" maklum mreka lg street tagihan listrik ama bpjs bengkak drastis #smiling face with open mouth and smiling eyes#",Negative
264,6-Jul-20,garagara dirumah terus tagihan listrik bengkak bgt,Negative
266,4-Jul-20,@subtanyarl 27 kadang 28 gampang kedinginan soalnya dan biar tagihan listrik ga terlalu bengkak,Negative
267,4-Jul-20,halo @pln_123 ini apa apaan ya kok tagihan listrik bisa bengkak hampir 2x lipat? kondisinya pdhl skrg jarang ada orang dirumah. kok sepi dirumah malah jd bengkak gini ya? itung itungannya gimana ini? coba dong di cek @kpk_ri @kemenbumn ini uda ratusan org komplain diem2 aja,Negative
268,4-Jul-20,"@infogresik min sorry mau nanyak ini tagihan listrik bisa tiba"" bengkak sampe 2x lipat dan air bengkak sampe 4x lipat bisa melapor ke siapa yah? padahal pemakaian listrik dan air seperti sewajarnya. suwon min.",Negative
269,4-Jul-20,@ivalasyif rasanya cuma pake laptop doang tapi bengkak banget ya va tagihan listrik #loudly crying face# #loudly crying face# aku baru bulan ini bulan kemarin masih normal. sesek napas liatnya #loudly crying face#,Negative
270,3-Jul-20,tagihan listrik bengkak janjikan cashback rp1 juta,Negative
271,3-Jul-20,tagihan listrik rumah cuman 80rb ga mungkin bulan kemaren juga lebih murah dari biasanya walaupun ga semurah sekarang. jangan sampe deh ini gara2 kesalahan @pln_123 yg berujung tagihan bulan2 depan jadi bengkak.,Negative
272,2-Jul-20,perasaan udah menghemat banget pemakaian listrik udah mulai masuk kantor juga jadi ya ga terlalu sering di rumah tp kenapa tagihan listriknya malah makin bengkak ya? #loudly crying face#,Negative
273,2-Jul-20,@pln_123 ntagihan listrik kok bengkak hampir 90 % dari bulan2 sebelumnya ndah kirim dm tolong cek,Negative
274,2-Jul-20,"@_pln_id halooo pln tagihan saya kenapa jadi bengkak begini ya ? naik 3 kali lipat padahal pemakaian listrik sama loh seperti bulan"" sebelumnya",Negative
275,1-Jul-20,rt @cnbcindonesia: pemerintah bantah tarif listrik naik kalau tagihan bengkak?,Negative
276,1-Jul-20,pemerintah bantah tarif listrik naik kalau tagihan bengkak?,Negative
277,1-Jul-20,abis listrik sekarang tagihan air ngikut pula bengkak 2x lipat. god!!,Negative
278,30-Jun-20,@cygnenoires xf7 tagihan listrik bengkak?,Negative
280,8-Jul-20,@pln_123 ya tapi listrik yang lain gak gak subsidi naek dan gak jelas token cepet abis gak normal padahal gak ada dirumah kwh berkurang sama seperti ada orangnya malah lebih #pln #gaknormal #listrikmahal,Negative
281,8-Jul-20,@pln_123 mati listrik daerah duren sawit udah tau belum? udah donk pasti.. nudah melakukan apa utk perbaikan? nudah ada donk pasti.. n#pln #listrik #jakarta,Negative
282,8-Jul-20,www #pln pln co id login #tokens token #listrikuntukrakyat #listrikuntuksemua #listrik listrik gratis 450 va dan diskon 50% 900 va diperpanjang buruan klaim,Negative
283,8-Jul-20,banjir rendam kampar 21 gardu listrik dipadamkan n#mncnewsroom #banjir #pln,Negative
284,8-Jul-20,teriak tagihan listrik kantornya membengkak dr tompi dituding terpapar radikal kampret,Negative
285,8-Jul-20,@pln_123 @jokowi @erickthohir ntagihan listrik membengkak karena ulah petugas catat meter listrik memanipulasi laporan || pln depok,Negative
286,8-Jul-20,repost from uang_kita n. nsiapa yang akhir-akhir ini tagihan listriknya membengkak? tapi nggak tau apa penyebabnya? . npas dapet tagihan listrik kita hanya diberi tahu berapa banyak pemakaian dan berapa jumlah,Negative
287,7-Jul-20,rt @msaid_didu: izinkan #sayamikir. nbagaimana dg iuran bpjs naik ? harga bbm tdk turun ? tagihan listrik meningkat ? utang makin membengkak,Negative
288,7-Jul-20,rt @kompascom: nagita slavina memberikan klarifikasi tentang pemberitaan yang menyebut ia marah karena biaya listrik yang membengkak.,Negative
289,7-Jul-20,nagita slavina memberikan klarifikasi tentang pemberitaan yang menyebut ia marah karena biaya listrik yang membengkak.,Negative
290,7-Jul-20,uring-uringan tagihan listrik membengkak nagita: sudah bayar mahal kalau ada tamu kan malu,Negative
291,7-Jul-20,rt @txtdrlordisran: ketika tagihan listrik membengkak naku yang sugih :,Negative
292,6-Jul-20,ketika tagihan listrik membengkak naku yang sugih :,Negative
293,6-Jul-20,"gak cuma di negeri +62 riweuh"" perkara tagihan listrik membengkak di negeri +60 ternyata jg begitu. #smiling face with open mouth and cold sweat#",Negative
294,6-Jul-20,@melindaaghnia biar tagihan listrik gk membengkak sepertu bejol.. #face savouring delicious food#,Negative
295,6-Jul-20,@syifazarr apakah suka mati xb2 atau tiba xb2 tagihan listrik membengkak dua kali lipat haha,Negative
296,6-Jul-20,"tak ada kenaikan cuma tambahan cicilan relaksasi juni ditagihnya juli. n""pln akan melakukan pemeriksaan lebih lanjut terhadap kasus yang terjadi "" ini quotenya. kesannya ada yg gak beres npenjelasan pln soal tagihan listrik yang kembali membengkak",Negative
297,6-Jul-20,teman twitter dah cek tagihan listrik bulan ini? masih membengkak juga gak? #listrik #plnbanyakutang,Negative
298,6-Jul-20,pln jelaskan hitungan tagihan listrik juli yang membengkak,Negative
299,6-Jul-20,rt @kompascom: pln memastikan membengkaknya tagihan listrik tersebut bukan diakibatkan kenaikan tarif ataupun praktik subsidi silang.,Negative
300,6-Jul-20,pln memastikan membengkaknya tagihan listrik tersebut bukan diakibatkan kenaikan tarif ataupun praktik subsidi silang.,Negative
301,5-Jul-20,selamat malam @pln_123 saya mau menanyakan soal kenaikan listrik non subsidi tgl bulan juni tagihan saya belum saya bayar saya cek tagihan saya tgl 30 juni sekitar rp 67.000. kenapa skrg baru tgl 5 juli tagihan saya membengkak d angka rp.325.000 mohon penjelasannya,Negative
302,5-Jul-20,tagihan listrik masih membengkak pln: kan masih xa0psbb,Negative
303,5-Jul-20,tagihan listrik masih membengkak pln: kan masih xa0psbb,Negative
304,4-Jul-20,@rifaiuhid @melanikristy @pln_123 waduh kacau saya bulan ini kena 1 3jt bulan-bulan sebelumnya maksimal 400k. ini masih ragu mau bayar tagihan bulan ini yg membengkak sepanjang sejarah bayar listrik #see-no-evil monkey# #see-no-evil monkey# #high voltage sign# #high voltage sign# #high voltage sign#,Negative
306,4-Jul-20,dari mana bisa berpenghasilan tinggi pak ? niuran bpjs kesehatan mencekik ntagihan listrik membengkak nbiaya hidup semakin tinggi ngaji rakyat kerja sebulan hanya habis utk seminggu makan. nkatanya bapak mirip dgn umar bin khattab tp kok gk sedih melihat rakyatnya susah.,Negative
307,4-Jul-20,rt @republikaonline: menurut data yang dimiliki pln konsumsi listrik masyarakat masih tinggi.,Negative
308,4-Jul-20,dear @pln_123 kenapa tagihan listrik tiba2 membengkak 2x lipat dari bulan2 sebelumnya. bahkan lebih,Negative
309,4-Jul-20,menurut data yang dimiliki pln konsumsi listrik masyarakat masih tinggi.,Negative
310,4-Jul-20,"@pln_123 admin mau lapor sekaligus nanya ini knp tagihan listrik membengkak parah 2 kali lipat padahal pemakaian jauh lebih rendah daripada bulan bulan sebelumnya 2 bulan ini jarang pake listrik tapi tagihannya gila""an ini maksudnya gimana?",Negative
311,4-Jul-20,@18noldelapan @hmmurahmurahhm2 @stevaniehuangg sepertinya mereka lagi nunggu kuota sambil ngirit pemakaian listrik karena tagihan membengkak. ntariff listrik gak melihat itu jokowiyah atau oposisi. #grinning face with smiling eyes#,Negative
312,3-Jul-20,rt @vivacoid: heboh lagi tagihan listrik membengkak pln buka hitung-hitungannya,Negative
313,3-Jul-20,entahlah apa yang terjadi sama pln_123 dan dengan kami yang terdampak pandemi covid-19 juga harus membayar tagihan listrik yang membengkak ini #loudly crying face#,Negative
314,3-Jul-20,solusi tagihan listrik membengkak saat pandemi,Negative
315,3-Jul-20,heboh lagi tagihan listrik membengkak pln buka hitung-hitungannya,Negative
316,3-Jul-20,rt @kompascom: sejumlah pelanggan listrik pascabayar kembali mengeluhkan kenaikan tagihan listrik rekening juli.,Negative
317,3-Jul-20,penjelasan pln soal tagihan listrik yang kembali membengkak n#beritasonora via @kompascom,Negative
318,3-Jul-20,tagihan listrik kembali membengkak begini penjelasan pln,Negative
319,3-Jul-20,sejumlah pelanggan listrik pascabayar kembali mengeluhkan kenaikan tagihan listrik rekening juli.,Negative
320,3-Jul-20,penjelasan pln soal tagihan listrik yang kembali membengkak,Negative
321,3-Jul-20,gila nih tagihan listrik tokoku dari bulan oktober sampai mei aja cuma 1jutaan bulan juni 5juta sekarang 18 juta yg bener aja bos @pln_123 @pln_jogja nyg bulan juni aja blm sempet tanya ke kantor pln knp membengkak eh yg bulan ini kok malah 18x lipat,Negative
322,3-Jul-20,@pln_123 min tlong di sampaikan sm yg punya yg jual listrik suara rakyat suara tuhan tagihan listrik membengkak janggal nian ngejio nyo bahaya bisa disumpahin rakyat klo gini cara nya,Negative
